0,g1,g2,g3,구이,국,갈비구이,갈치구이,계란국,고등어구이,곱창구이,떡국_만두국,무국
d:/kfood\국\무국\Img_016_0015.jpg,국,무국,Img_016_0015.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\국\떡국_만두국\Img_015_0214.jpg,국,떡국_만두국,Img_015_0214.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\곱창구이\Img_003_0371.jpg,구이,곱창구이,Img_003_0371.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\곱창구이\Img_003_0031.jpg,구이,곱창구이,Img_003_0031.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\곱창구이\Img_003_0576.jpg,구이,곱창구이,Img_003_0576.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\곱창구이\Img_003_0588.jpg,구이,곱창구이,Img_003_0588.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\국\무국\Img_016_0011.jpg,국,무국,Img_016_0011.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\국\떡국_만두국\Img_015_0129.jpg,국,떡국_만두국,Img_015_0129.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\갈비구이\Img_000_0605.jpg,구이,갈비구이,Img_000_0605.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\국\무국\Img_016_0067.JPG,국,무국,Img_016_0067.JPG,False,True,False,False,False,False,False,False,True
d:/kfood\구이\고등어구이\Img_002_0972.jpg,구이,고등어구이,Img_002_0972.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0083.jpg,국,떡국_만두국,Img_015_0083.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\고등어구이\Img_002_0407.jpg,구이,고등어구이,Img_002_0407.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\구이\갈치구이\Img_001_0340.jpg,구이,갈치구이,Img_001_0340.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\계란국\Img_014_0819.jpg,국,계란국,Img_014_0819.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\국\무국\Img_016_0324.jpg,국,무국,Img_016_0324.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\국\떡국_만두국\Img_015_0943.jpg,국,떡국_만두국,Img_015_0943.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\국\떡국_만두국\Img_015_0526.jpg,국,떡국_만두국,Img_015_0526.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\갈비구이\Img_000_0351.jpg,구이,갈비구이,Img_000_0351.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0348.jpg,국,떡국_만두국,Img_015_0348.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\국\떡국_만두국\Img_015_0828.jpg,국,떡국_만두국,Img_015_0828.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\국\계란국\Img_014_0311.jpg,국,계란국,Img_014_0311.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\국\계란국\Img_014_0534.jpg,국,계란국,Img_014_0534.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\갈비구이\Img_000_0692.jpg,구이,갈비구이,Img_000_0692.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\국\무국\Img_016_0094.jpg,국,무국,Img_016_0094.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\갈치구이\Img_001_0102.jpg,구이,갈치구이,Img_001_0102.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\구이\갈비구이\Img_000_0831.jpg,구이,갈비구이,Img_000_0831.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\구이\갈비구이\Img_000_0547.jpg,구이,갈비구이,Img_000_0547.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\구이\곱창구이\Img_003_0433.jpg,구이,곱창구이,Img_003_0433.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\고등어구이\Img_002_0649.jpg,구이,고등어구이,Img_002_0649.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\구이\곱창구이\Img_003_0203.jpg,구이,곱창구이,Img_003_0203.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\국\떡국_만두국\Img_015_0189.jpg,국,떡국_만두국,Img_015_0189.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\곱창구이\Img_003_0739.jpg,구이,곱창구이,Img_003_0739.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\국\무국\Img_016_0278.jpg,국,무국,Img_016_0278.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\갈비구이\Img_000_0506.jpg,구이,갈비구이,Img_000_0506.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0511.jpg,국,떡국_만두국,Img_015_0511.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\국\무국\Img_016_0046.jpg,국,무국,Img_016_0046.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\갈치구이\Img_001_0505.jpg,구이,갈치구이,Img_001_0505.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\무국\Img_016_0207.jpg,국,무국,Img_016_0207.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\갈치구이\Img_001_0490.jpg,구이,갈치구이,Img_001_0490.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\구이\갈치구이\Img_001_0541.jpg,구이,갈치구이,Img_001_0541.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\구이\곱창구이\Img_003_0521.jpg,구이,곱창구이,Img_003_0521.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\국\계란국\Img_014_0788.jpg,국,계란국,Img_014_0788.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\국\무국\Img_016_0961.jpg,국,무국,Img_016_0961.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\국\무국\Img_016_0161.jpg,국,무국,Img_016_0161.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\국\떡국_만두국\Img_015_0728.jpg,국,떡국_만두국,Img_015_0728.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\국\계란국\Img_014_0794.jpg,국,계란국,Img_014_0794.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\고등어구이\Img_002_0999.jpg,구이,고등어구이,Img_002_0999.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\구이\갈비구이\Img_000_0468.jpg,구이,갈비구이,Img_000_0468.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0102.jpg,국,떡국_만두국,Img_015_0102.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\갈치구이\Img_001_0890.jpg,구이,갈치구이,Img_001_0890.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\구이\갈비구이\Img_000_0396.jpg,구이,갈비구이,Img_000_0396.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\국\무국\Img_016_0540.jpg,국,무국,Img_016_0540.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\국\무국\Img_016_0828.jpg,국,무국,Img_016_0828.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\갈치구이\Img_001_0351.jpg,구이,갈치구이,Img_001_0351.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\구이\고등어구이\Img_002_0707.jpg,구이,고등어구이,Img_002_0707.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\국\계란국\Img_014_0046.jpg,국,계란국,Img_014_0046.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\갈치구이\Img_001_0781.jpg,구이,갈치구이,Img_001_0781.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\구이\고등어구이\Img_002_0810.jpg,구이,고등어구이,Img_002_0810.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\국\무국\Img_016_0314.jpg,국,무국,Img_016_0314.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\갈비구이\Img_000_0480.jpg,구이,갈비구이,Img_000_0480.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\구이\곱창구이\Img_003_0649.jpg,구이,곱창구이,Img_003_0649.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\갈치구이\Img_001_0906.jpg,구이,갈치구이,Img_001_0906.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0682.jpg,국,떡국_만두국,Img_015_0682.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\갈치구이\Img_001_0399.jpg,구이,갈치구이,Img_001_0399.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\구이\갈치구이\Img_001_0660.jpg,구이,갈치구이,Img_001_0660.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\계란국\Img_014_0438.jpg,국,계란국,Img_014_0438.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\곱창구이\Img_003_0239.jpg,구이,곱창구이,Img_003_0239.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\국\떡국_만두국\Img_015_0053.jpg,국,떡국_만두국,Img_015_0053.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\곱창구이\Img_003_0475.jpg,구이,곱창구이,Img_003_0475.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\고등어구이\Img_002_0232.jpg,구이,고등어구이,Img_002_0232.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\구이\갈치구이\Img_001_0921.jpg,구이,갈치구이,Img_001_0921.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\구이\곱창구이\Img_003_0417.jpg,구이,곱창구이,Img_003_0417.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\국\무국\Img_016_0889.jpg,국,무국,Img_016_0889.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\곱창구이\Img_003_0124.jpg,구이,곱창구이,Img_003_0124.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\국\떡국_만두국\Img_015_0560.jpg,국,떡국_만두국,Img_015_0560.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\국\계란국\Img_014_0490.jpg,국,계란국,Img_014_0490.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\갈치구이\Img_001_0434.jpg,구이,갈치구이,Img_001_0434.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\무국\Img_016_0320.jpg,국,무국,Img_016_0320.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\국\무국\Img_016_0763.jpg,국,무국,Img_016_0763.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\갈비구이\Img_000_0304.jpg,구이,갈비구이,Img_000_0304.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\국\무국\Img_016_0579.jpg,국,무국,Img_016_0579.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\국\계란국\Img_014_0948.jpg,국,계란국,Img_014_0948.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\갈치구이\Img_001_0012.JPG,구이,갈치구이,Img_001_0012.JPG,True,False,False,True,False,False,False,False,False
d:/kfood\구이\고등어구이\Img_002_0697.jpg,구이,고등어구이,Img_002_0697.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\구이\갈치구이\Img_001_0269.jpg,구이,갈치구이,Img_001_0269.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\구이\갈치구이\Img_001_0401.jpg,구이,갈치구이,Img_001_0401.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\무국\Img_016_0768.jpg,국,무국,Img_016_0768.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\갈치구이\Img_001_0378.jpg,구이,갈치구이,Img_001_0378.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\구이\고등어구이\Img_002_0831.jpg,구이,고등어구이,Img_002_0831.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\구이\고등어구이\Img_002_0439.jpg,구이,고등어구이,Img_002_0439.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\국\계란국\Img_014_0075.jpg,국,계란국,Img_014_0075.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\고등어구이\Img_002_0844.jpg,구이,고등어구이,Img_002_0844.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0376.jpg,국,떡국_만두국,Img_015_0376.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\갈비구이\Img_000_0572.jpg,구이,갈비구이,Img_000_0572.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\국\무국\Img_016_0500.jpg,국,무국,Img_016_0500.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\국\떡국_만두국\Img_015_0757.jpg,국,떡국_만두국,Img_015_0757.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\곱창구이\Img_003_0181.jpg,구이,곱창구이,Img_003_0181.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\고등어구이\Img_002_0746.jpg,구이,고등어구이,Img_002_0746.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0977.jpg,국,떡국_만두국,Img_015_0977.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\곱창구이\Img_003_0486.jpg,구이,곱창구이,Img_003_0486.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\갈치구이\Img_001_0802.jpg,구이,갈치구이,Img_001_0802.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\구이\고등어구이\Img_002_0088.jpg,구이,고등어구이,Img_002_0088.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\구이\갈비구이\Img_000_0832.jpg,구이,갈비구이,Img_000_0832.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\구이\곱창구이\Img_003_0741.jpg,구이,곱창구이,Img_003_0741.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\곱창구이\Img_003_0702.jpg,구이,곱창구이,Img_003_0702.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\갈치구이\Img_001_0473.jpg,구이,갈치구이,Img_001_0473.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\구이\갈비구이\Img_000_0412.jpg,구이,갈비구이,Img_000_0412.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\국\계란국\Img_014_0566.jpg,국,계란국,Img_014_0566.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\국\무국\Img_016_0205.jpg,국,무국,Img_016_0205.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\곱창구이\Img_003_0314.jpg,구이,곱창구이,Img_003_0314.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\국\무국\Img_016_0289.jpg,국,무국,Img_016_0289.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\갈비구이\Img_000_0724.jpg,구이,갈비구이,Img_000_0724.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\구이\갈치구이\Img_001_0125.jpg,구이,갈치구이,Img_001_0125.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\무국\Img_016_0340.jpg,국,무국,Img_016_0340.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\국\계란국\Img_014_0291.jpg,국,계란국,Img_014_0291.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\갈치구이\Img_001_0632.jpg,구이,갈치구이,Img_001_0632.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0686.jpg,국,떡국_만두국,Img_015_0686.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\국\무국\Img_016_0052.jpg,국,무국,Img_016_0052.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\갈비구이\Img_000_0167.jpg,구이,갈비구이,Img_000_0167.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0751.jpg,국,떡국_만두국,Img_015_0751.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\국\떡국_만두국\Img_015_0597.jpg,국,떡국_만두국,Img_015_0597.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\국\무국\Img_016_0448.jpg,국,무국,Img_016_0448.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\국\계란국\Img_014_0614.jpg,국,계란국,Img_014_0614.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\고등어구이\Img_002_0892.jpg,구이,고등어구이,Img_002_0892.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\국\계란국\Img_014_0983.jpg,국,계란국,Img_014_0983.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\갈비구이\Img_000_0271.jpg,구이,갈비구이,Img_000_0271.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0087.jpg,국,떡국_만두국,Img_015_0087.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\고등어구이\Img_002_0550.jpg,구이,고등어구이,Img_002_0550.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\구이\고등어구이\Img_002_0472.jpg,구이,고등어구이,Img_002_0472.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\국\계란국\Img_014_0246.jpg,국,계란국,Img_014_0246.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\갈치구이\Img_001_0124.jpg,구이,갈치구이,Img_001_0124.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\무국\Img_016_0659.jpg,국,무국,Img_016_0659.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\곱창구이\Img_003_0595.jpg,구이,곱창구이,Img_003_0595.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\갈비구이\Img_000_0341.jpg,구이,갈비구이,Img_000_0341.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0355.jpg,국,떡국_만두국,Img_015_0355.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\국\떡국_만두국\Img_015_0948.jpg,국,떡국_만두국,Img_015_0948.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\곱창구이\Img_003_0750.jpg,구이,곱창구이,Img_003_0750.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\갈비구이\Img_000_0477.jpg,구이,갈비구이,Img_000_0477.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\구이\곱창구이\Img_003_0159.jpg,구이,곱창구이,Img_003_0159.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\갈치구이\Img_001_0221.jpg,구이,갈치구이,Img_001_0221.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\구이\고등어구이\Img_002_0507.jpg,구이,고등어구이,Img_002_0507.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\국\계란국\Img_014_0750.jpg,국,계란국,Img_014_0750.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\고등어구이\Img_002_0903.jpg,구이,고등어구이,Img_002_0903.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\구이\갈치구이\Img_001_0483.jpg,구이,갈치구이,Img_001_0483.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\무국\Img_016_0657.jpg,국,무국,Img_016_0657.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\국\떡국_만두국\Img_015_0789.jpg,국,떡국_만두국,Img_015_0789.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\국\계란국\Img_014_0440.jpg,국,계란국,Img_014_0440.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\곱창구이\Img_003_0647.jpg,구이,곱창구이,Img_003_0647.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\국\무국\Img_016_0962.jpg,국,무국,Img_016_0962.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\갈치구이\Img_001_0358.jpg,구이,갈치구이,Img_001_0358.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0990.jpg,국,떡국_만두국,Img_015_0990.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\갈비구이\Img_000_0606.jpg,구이,갈비구이,Img_000_0606.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\구이\갈비구이\Img_000_0866.jpg,구이,갈비구이,Img_000_0866.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\구이\고등어구이\Img_002_0866.jpg,구이,고등어구이,Img_002_0866.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\구이\갈치구이\Img_001_0977.jpg,구이,갈치구이,Img_001_0977.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\무국\Img_016_0447.jpg,국,무국,Img_016_0447.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\곱창구이\Img_003_0729.jpg,구이,곱창구이,Img_003_0729.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\국\계란국\Img_014_0946.jpg,국,계란국,Img_014_0946.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0856.jpg,국,떡국_만두국,Img_015_0856.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\국\무국\Img_016_0923.jpg,국,무국,Img_016_0923.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\구이\갈치구이\Img_001_0721.jpg,구이,갈치구이,Img_001_0721.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\계란국\Img_014_0648.jpg,국,계란국,Img_014_0648.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\갈비구이\Img_000_0949.jpg,구이,갈비구이,Img_000_0949.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\구이\갈치구이\Img_001_0294.jpg,구이,갈치구이,Img_001_0294.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0269.jpg,국,떡국_만두국,Img_015_0269.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\갈치구이\Img_001_0463.jpg,구이,갈치구이,Img_001_0463.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\구이\곱창구이\Img_003_0664.jpg,구이,곱창구이,Img_003_0664.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\고등어구이\Img_002_0362.jpg,구이,고등어구이,Img_002_0362.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\국\떡국_만두국\Img_015_0711.jpg,국,떡국_만두국,Img_015_0711.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\고등어구이\Img_002_0503.jpg,구이,고등어구이,Img_002_0503.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\구이\곱창구이\Img_003_0227.jpg,구이,곱창구이,Img_003_0227.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\구이\갈치구이\Img_001_0247.jpg,구이,갈치구이,Img_001_0247.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\구이\고등어구이\Img_002_0908.jpg,구이,고등어구이,Img_002_0908.jpg,True,False,False,False,False,True,False,False,False
d:/kfood\구이\갈비구이\Img_000_0374.jpg,구이,갈비구이,Img_000_0374.jpg,True,False,True,False,False,False,False,False,False
d:/kfood\국\계란국\Img_014_0663.jpg,국,계란국,Img_014_0663.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\갈비구이\Img_000_0071.JPG,구이,갈비구이,Img_000_0071.JPG,True,False,True,False,False,False,False,False,False
d:/kfood\국\무국\Img_016_0818.jpg,국,무국,Img_016_0818.jpg,False,True,False,False,False,False,False,False,True
d:/kfood\국\떡국_만두국\Img_015_0431.jpg,국,떡국_만두국,Img_015_0431.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\국\떡국_만두국\Img_015_0159.jpg,국,떡국_만두국,Img_015_0159.jpg,False,True,False,False,False,False,False,True,False
d:/kfood\구이\갈치구이\Img_001_0907.jpg,구이,갈치구이,Img_001_0907.jpg,True,False,False,True,False,False,False,False,False
d:/kfood\국\계란국\Img_014_0362.jpg,국,계란국,Img_014_0362.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\구이\곱창구이\Img_003_0610.jpg,구이,곱창구이,Img_003_0610.jpg,True,False,False,False,False,False,True,False,False
d:/kfood\국\계란국\Img_014_0335.jpg,국,계란국,Img_014_0335.jpg,False,True,False,False,True,False,False,False,False
d:/kfood\국\무국\Img_016_0368.jpg,국,무국,Img_016_0368.jpg,False,True,False,False,False,False,False,False,True
